date,number,title,url,desc,guests
2009-09-25,B1,Live from Vancouver!,http://www.earwolf.com/episode/live-from-vancouver/,"When Comedy Bang Bang: The Podcast goes in front of a live audience, you never know what to expect! Like an audience not really understanding just what it is that Todd Barry is doing. Or that Ice T might look nothing like he does when he’s acting on TV’s Law and Order. But you can always count on Would You Rather, Garfunkel & Oates, Nick Thune, and the most famous and beloved segment: The Patented Chime-Off.","Todd Barry, Nick Thune, Paul F. Tompkins,  Garfunkel & Oates, Reggie Watts"
2009-10-02,23,Guest Host Paul F. Tompkins,http://www.earwolf.com/episode/guest-host-paul-f-tompkins/,"Many nerds dream about the meeting of Paul F. Tompkins and “Weird Al” Yankovic. Well, now you can know just exactly how it happened! Spoiler alert: It’s hilarious! And I know we all heard about the mysterious pink-lining of Tig Notaro in Vancouver, so be sure to get the truth behind the rumors!","Weird Al Yankovic, Paul F. Tompkins, Tig Notaro"
2009-10-09,24,No Such Thing as Shirter!,http://www.earwolf.com/episode/no-such-thing-as-shirter/,"This episode features some of the best acting known to man. Nick Swardson from Comedy Central’s Reno 911 guest hosts, and Academy Award winner Gary Busey steps in for a chat (while James Adomian steps out). Don’t miss a peek into the actor’s process as Matt Walsh prepares for some of his upcoming projects, and if you pay close attention you’ll hear Paul F. Tompkins!","Nick Swardson, Matt Walsh, Paul F. Tompkins, James Adomian"
2009-10-16,25,We’re Down for Whatewers,http://www.earwolf.com/episode/were-down-for-whatewers/,"Comedy has always been a young man’s game, which is perhaps why Neil Hamburger cannot get an audience to do anything but boo and hiss until his set ends. You’d think they’d enjoy his stuff, as so much of it is about Lindsay Lohan and Britney Spears and the other people who keep this culture running. Maybe it’s because of his opening act, Mike O’Connell. I mean, he’s the type of guy who you keep your babies far away from, especially if they are Asian. Fortunately the somewhat likeable political analyst Anthony Rivera drops in who is “down for like whatewers.”","Brent Weinbach, Mike O'Connell, Neil Hamburger"
2009-10-23,26,What Do You Say to Your Dog?,http://www.earwolf.com/episode/what-do-you-say-to-your-dog/,What do you say to your dog that you wish someone would say to you? I bet it isn’t as funny as Andy Richter’s answer! How would you serenade a porn star? I bet it isn’t as melodious as Sarah Silverman’s song! What would you ask Elvis Costello if you could ask him anything? I bet it isn’t as hard-hitting as Scott Aukerman’s questions!,"Sarah Silverman, Andy Richter"
2009-10-30,27,A Cyberthug Take-Over!,http://www.earwolf.com/episode/a-cyberthug-take-over/,"CYBER-THUG TAKEOVER! The Thuggy one brings in his very best and thuggiest friend Miles Archer who helps cohost this unspeakably terrible overtaking of the show we love so much. Don’t be too worried, as show favorite Bobby Bottleservice shows up with Jerry O’Connell from Carpoolers (Jerry Minor was in that….whatever happened to that guy?). You’ve been warned!","Jerry O'Connell, Nick Kroll, Jerry Minor, Miles Archer"
2009-11-06,28,Did Somebody Sit on a Duck?,http://www.earwolf.com/episode/did-somebody-sit-on-a-duck/,"Theme-episodes aren’t Comedy Bang Bang’s forte, so why Scott wanted to have a Philly episode we’ll never understand. I mean, Paul F. Tompkins and Todd Glass I get, but (the great Dr.) Bill Cosby? And he’s become such a shill! Well, listen anyways, for Paul and Todd at least.","Todd Glass, Paul F. Tompkins, Jon Daly"
2009-11-13,29,Introducing Huell Howser,http://www.earwolf.com/episode/introducing-huell-howser/,"Fan favorite (well, at least this fan’s favorite) Ben Schwartz makes his first appearance, and we’re lucky he and Chip Pope were there. You see, public television host Huell Howser came in James Adomian’s stead and boy did he have a lot of questions! Chip and Ben kept him informed, but confusion ensued when Chip left to get his friend R.O. Manse. Don’t miss the premiere of Do They Know It’s Christmas!","Ben Schwartz, Chip Pope, James Adomian"
2009-11-20,30,Yerr An Egghead!,http://www.earwolf.com/episode/yerr-an-egghead/,"You can’t get three guests better than Matt Walsh, Dave Holmes, and Howard Kremer. Unfortunately, for much of the time at least one of them is missing. Radio Disney sends over one of their most famous DJ’s, Lil’ Timmy, who brings up some tremendously upsetting information. Dave Holmes presents us with one of the most carefully thought-out and well crafted characters since the history of characters, and Matt Walsh lets us in on what aliens want to know about our world.","Dave Holmes, Matt Walsh, Howard Kremer"
2009-11-27,31,Happy Black Friday!,http://www.earwolf.com/episode/happy-black-friday/,"The day after Thanksgiving, most people are too hung-over and full to do anything hilarious. This is not true for Michael Cera, James Adomian, Jimmy Pardo, Nick Kroll, and Paul F. Tompkins. Also, Harris is there. Learn about the history of Thanksgiving from the always insightful Huel Howser, hear what the hip Jersey kids are doing this Thanksgiving via Bobby Bottleservice, and experience the brainstorming of two great minds as Scott Aukerman and Ice T do some business planning.","Michael Cera, Jimmy Pardo, Harris Wittels, Nick Kroll, Paul F. Tompkins, James Adomian"
2009-12-04,32,Raaaaaaaandy!,http://www.earwolf.com/episode/raaaaaaaandy/,"Brendon Small is the genius behind the band Dethklok (who you might know better as Metalocalypse, but he would prefer that you didn’t). Aziz Ansari is the genius behind Raaaaaaaandy from Judd Apatow’s movie “Funny People.” Stan Lee is the genius behind Spiderman. And while Captain Moustache isn’t necessarily a genius, he does offer some funny stand-up!","Aziz Ansari, Brendon Small, Hal Rudnick"
2009-12-11,33,Welcome to Jamrock,http://www.earwolf.com/episode/welcome-to-jamrock/,"Welcome to Jamrock, I mean Comedy Bang Bang: The Podcast! Scott counts down the best songs of the year, and of the Christmas season, with his friends Paul F. Tompkins and Kyle Kinane. They wind down the year discussing their favorite Christmas customs, incense smells, door-to-door fliers, pizzas, and everything else the Holiday season brings. Don’t miss possibly the most famous guest, Ray Romano, when he stops by with some Holiday cheer!","Kyle Kinane, Paul F. Tompkins"
2009-12-18,34,Have a Merry Christmas…,http://www.earwolf.com/episode/have-a-merry-christmas/,"If Santa asked ME what I wanted for Christmas, I’m sure Jon Hamm, Nick Kroll, James Adomian, and Paul F. Tompkins would be involved. Well, Scott answers this nerd’s Christmas dreams with a commercial for Masculinidad, a peek into Jesse “The Mind” Ventura’s new show, and an acting-off between John C. Reilly and Jon Hamm. Of course, a special episode wouldn’t be complete without a super-special guest, Weirdest Kulap Vilaysack!","Jon Hamm, Doug Benson, Nick Kroll, Kulap Vilaysack, Paul F. Tompkins, James Adomian"
2009-12-27,BO2009,The Best of 2009,http://www.earwolf.com/episode/the-best-of-2009/,"Scott asked us all to vote, and we did. Only, not for him. Listen in on what fans decided were the most memorable moments of 2009 on Comedy Bang Bang: The Podcast. Because nobody wants to be alone during the holidays, Scott brought in his good friends Huell Howser, Ice T, and Bobby Bottleservice to help him count ’em down.If you are new to Comedy Bang Bang: The Podcast, this is a great place to start!","Nick Kroll, Paul F. Tompkins, James Adomian"
2010-01-08,35,And a Happy New Year!,http://www.earwolf.com/episode/and-a-happy-new-year/,"I made some New Year’s resolutions this year:1. Catch up with my old friend, Lil’ Gary, and see how his health is.2. Do some reading, maybe Sci-Fi or Romance?3. Listen to Patton Oswalt speak.I was glad Comedy Bang Bang: The Podcast was there to help me stay true! Don’t miss the much-talked-about short story by Brett Gelman, iBrain, and hear two of the smartest comedic minds (that would be Patton Oswalt and Lil’ Gary) wax philosophic.","Patton Oswalt, Thomas Lennon, Brett Gelman"
2010-01-15,36,Another Cyberthug Take-Over,http://www.earwolf.com/episode/another-cyberthug-take-over/,"Run for your life, it’s a CYBER-THUG TAKE OVER! Cyber and his buddy Miles Archer discuss the state of hip hop with Kanye East, and whatever type of music it is that Taylor Slow does.","Jerry Minor, Matt Besser, Miles Archer"
2010-01-18,B2,Live from SF Sketchfest!,http://www.earwolf.com/episode/live-from-sf-sketchfest/,"In the first Doug Loves Movies/Comedy Bang Bang: The Podcast cross-over event, Scott brings on his friends Doug Benson, Dana Gould, Paul F. Tompkins, Michael Ian Black, and of course the theme-song composer Reggie Watts. The show gets its first ever appearance of a Tony Award winner in Dame Sir Andrew Lloyd Webber, and experiences what it’s like to do the same type of show they do in a studio in front of real live people.","Doug Benson, Michael Ian Black, Dana Gould, Paul F. Tompkins, Reggie Watts"
2010-01-22,37,Exclusive Prince Interview,http://www.earwolf.com/episode/exclusive-prince-interview/,"Todd Glass might be the most seriously funny person. And by that I mean even when he’s talking about his dog dying or asking for Twitter advice, it’s hilarious. Hannibal Buress drops some bon mots, and Sarah Silverman is fortunate enough to be in studio for the SECOND Comedy Bang Bang Celebrity Interview, this time with Prince.","Sarah Silverman, Todd Glass, Hannibal Buress"
2010-01-29,38,Paul F. Tompkins Steps In,http://www.earwolf.com/episode/paul-f-tompkins-steps-in/,"While it is impossible to replace Scott Aukerman, Paul F. Tompkins does a better job than any. On this episode he does the whole Paul-F-Tompkins-thing until his grandma’s get there to teach us a little bit about Paul’s upbringing. Paul also brings on his friend from the highly underrated (in this nerds opinion) show It’s Always Sunny in Philadelphia, Kaitlin Olson, who teaches us a bit about working with a depressed alcoholic version of the Gentleman Tompkins.","Kaitlin Olson, Jeremy Carter, Mark McConville, Matt Gourley, Paul F. Tompkins"
2010-02-02,B3,Live from UCB NY!,http://www.earwolf.com/episode/live-from-ucb-ny/,"When Scott goes to New York to do a show, he gets the absolute best New York comedians out there. Scott and guest-host Todd Barry do some improvisation before they bring out their first guest, comedy nerd demi-god David Cross. Once he’s done, Zach Galifianakis comes out and entertains us all with some pre-fame talk. This OBNOXIOUSLY whiney baby takes the stage before Ted Leo (the musician Ted Leo? But he’s not a comedian!) finishes us up.","Zach Galifianakis, David Cross, Todd Barry, John Gemberling, Ted Leo"
2010-02-05,39,The Premiere of Bob Ducca,http://www.earwolf.com/episode/the-premiere-of-bob-ducca/,"When Bob Ducca shows up to Comedy Bang Bang: The Podcast, it can be hard to keep up the pace. Fortunately, Miss Riki “Garfunkel” Lindhome and Miss Kate “Oates” Micucci do just that. And who would have thought, Brendon Walsh and Bob have quite a bit in common! You won’t want to miss the bonding that occurs between those two.","Seth Morris, Brendon Walsh,  Garfunkel & Oates"
2010-02-12,40,Happy Valentines Day,http://www.earwolf.com/episode/happy-valentines-day/,"Harris Wittels comes to save face after his last appearance, and gets some great tips from comedy legend Doug Benson regarding the jokes he stores in his phone. Notorious grump Christopher Hitchens shows up to let us know why Valentine’s Day, the concept of love, and everything in between are corrupt and terrible. By Valentine’s Day, I mean the holiday not the movie. But the movie is also terrible, as Gary Marshall admits in a call he makes into the show.","Doug Benson, Harris Wittels, Paul F. Tompkins, James Adomian"
2010-02-19,41,Winter Olympic Fever,http://www.earwolf.com/episode/winter-olympic-fever/,"The winter Olympics are here, and I know what you all are thinking: “What does Academy Award nominated singer/songwriter Aimee Mann think of the winter Olympics?” Well don’t you worry your pretty little head, because you get 15 solid minutes of Olympic talk before Kumail Nanjiani joins the group. After a quick and hilarious retelling of his interactions with John Mayer, poet Maya Angelou reads us some of the beautiful work she’s written regarding the winter Olympics. Good Morning.","Aimee Mann, Drew Droege, Kumail Nanjiani"
2010-02-26,42,Winter Olympic Fever: Deux!,http://www.earwolf.com/episode/winter-olympic-fever-deux/,"Comedy Bang Bang has caught winter-olympic fever, and has on some of the members of the world famous Georgian Olympic Figure Skating Team as well as the coach, who teach us what it means to be a famous figure skater in this world. Nick Thune is the co-host for the hour and treats us with a song off of his album Thick Noon. Plus once James Pumphrey shows up we get to hear some of the brilliant improvisation that makes the UCB and those who perform there so renowned.","Matt Walsh, Nick Thune, Danielle Schneider, Ian Roberts, James Pumphrey"
2010-03-05,43,Good One!,http://www.earwolf.com/episode/good-one/,"THE GOOD ONE ROBOT IS HERE! Everyone had been requesting it, and here it is! The Good-One robot! This almost makes up for the awkward addition of Julie Penzmere, Scott’s ex-girlfriend (if you can call her that, I mean, they only dated once!). Tig Notaro quickly sets herself apart as a fan favorite with her phenomenal Foley work, and Rory Scovel gives us his Oscar predictions. If you were wanting more music from Cracked Out, this is the episode to check out since it is literally the only option Scott had.","Casey Wilson, Rory Scovel, Tig Notaro"
2010-03-12,44,We Got a Caller on the Line,http://www.earwolf.com/episode/we-got-a-caller-on-the-line/,"This episode is a global episode if ever there was one. Repping for the U.S. of A. is Jason Woliner of Human Giant, and honestly, who else would you WANT representing this country? To represent our neighbors down south is El Chupacabra who helps Scott quite a bit regarding how to be a great radio host. And from across the pond as “they” say, Dame Sir Andrew Lloyd Webber shows up and gives some hints of what to expect from his upcoming work. Don’t miss the first semi-regular appearance of Jukebox Jury!","Jason Woliner, Nick Kroll, Paul F. Tompkins"
2010-03-19,45,Cyberthug Take Over Pt Three,http://www.earwolf.com/episode/cyberthug-take-over-pt-three/,"Be warned, it’s another CYBER-THUG TAKE OVER! This episode features quite the motely crew of guests, starting with David Sitek from TV on the Radio. The Thuggy one brings into the studio Mr. Jesse “The Mind” Ventura who blows everyone away with some of the truth he’s uncovered. Craig Robinson makes a quick appearance to be hilarious and wonderful, and Tik Tok is on Cyber’s right hand side the entire episode.","Craig Robinson, Brandon Johnson, Dave Sitek, James Adomian, Jerry Minor"
2010-03-26,46,Curb Your Suicide Attempts,http://www.earwolf.com/episode/curb-your-suicide-attempts/,"Isn’t it great in life when you get unexpected surprises? Like the surprise of a 2-hour episode, or the surprise of Hasty Pudding Theatrical’s Man of the Year Ben Stiller? How about of Jeff Garlin from TV’s Shorty McShorts Shorts? What would you say if rapper-turned-actor Ice T showed up? And how sweet would it be if Scott let an older gentleman whose dying wish is to do stand-up on the show? All of these things happen.","Ben Stiller, Jeff Garlin, Andy Daly, Paul F. Tompkins"
2010-04-02,47,Happy Chap,http://www.earwolf.com/episode/happy-chap/,"This episode is PURE class! The super classy Greg Proops talks a bit about his participation in the greatest film of all time. Then the captain of class, jazz musician Barry R. brings up the class level. They class about for a while until a very classy Would You Rather and classy Plugs.","Greg Proops, Jon Daly"
2010-04-09,48,In the Thicke of the Night,http://www.earwolf.com/episode/in-the-thicke-of-the-night/,"The Sklars are here! The Sklar Brothers make their second appearance on the show, and do the whole twin-thing. Not to disrespect the Sklars in any fashion, but they are classless jerks compared to our other guest, J. Montgomery Scott. I know what you’re thinking: “How in the world did Comedy Bang Bang get world renowned actor and voice over artist J. Montgomery Scott?” Well, all that matters is that he’s here, and he and The Sklars get to enjoy the premiere of Weirder Scott’s new song Halo.","Paul Scheer, Jason Sklar, Randy Sklar"
2010-04-16,49,Family Counseling,http://www.earwolf.com/episode/family-counseling/,"Adam Scott is a phenomenal comedic actor who proves in this episode that he’s hilarious in any medium. He somehow manages to be funny even with the tragedy that is relationship experts James and Cathy McDowell and their neglected son Damian Vast. After they’ve sufficiently bummed everyone out with their upsetting views on parenting, Chris Fairbanks comes in to close us out with some of the trademark (admin note: don’t quote me on that) wit and quickness that makes him such a great stand-up comic.","Adam Scott, Matt Walsh, June Diane Raphael, Chris Fairbanks, James Pumphrey"
2010-04-23,50,A Thrilling Hour or So,http://www.earwolf.com/episode/a-thrilling-hour-or-so/,"Comedy Bang Bang was a huge event in Los Angeles for years before it became a podcast. Well, this week Scott granted a nation-wide audience to another L.A. comedy hit, The Thrilling Adventure Hour. Enjoy an appearance from Colonel Tick-Tock, and a visit from his modern “urban” counterpart Michael Crappaport. Guest host Paul Gilmartin does a great job of keepin’ up the funny and making everyone wish Dinner and a Movie was less of the movie, more of the hosts.","Paul Gilmartin, Mookie Blaiklock"
2010-04-30,51,One Year Anniversary Party,http://www.earwolf.com/episode/one-year-anniversary-party/,"Scott starts his year-end celebration off with a bang. And by a bang, I mean a story about the meeting (or should I say meetings) of the great Tig Notaro and the even greater Taylor Dayne. Some of our friends (or should I say Paul F. Tompkins’ friends) call in from the Goodyear blimp (or should I say I say the good-one blimp). You’ll never believe what Jesse Ventura and Huell Howser are up to!","Tig Notaro, Paul F. Tompkins, James Adomian"
2010-04-30,51.5,The Party’s Still Raging,http://www.earwolf.com/episode/the-partys-still-raging/,"The year-end celebration continues with original UCB member Rich Fulcher. Bob Ducca stops by to let us know about some of the reasons he hasn’t stopped by lately, and Bobby Bottleservice and El Chupacabra join the fiesta! Plus, don’t miss Jerry Minor doing weird, indescribable, but hilarious things.","Rich Fulcher, Thomas Lennon, Nick Kroll, Tig Notaro, James Adomian, Seth Morris, Jerry Minor"
2010-05-07,52,Introducing: The Japan Dogs,http://www.earwolf.com/episode/introducing-the-japan-dogs/,"Sarah Silverman, Ben Schwartz, and Harris Wittels have worked together on numerous projects, which is perhaps why the three of them have so much fun and such great chemistry on this episode of Comedy Bang Bang: The Podcast. Whether they are revealing deep dark secrets about each other’s sexual history, or starting a barbershop quartet, there are non-stop laughs. Don’t miss stories out of Sarah’s book “The Bedwetter”, information about Ben Schwartz’s upcoming television shows, and see what Harris has been saving up since the last time he shared the jokes from his phone.","Sarah Silverman, Harris Wittels, Ben Schwartz"
2010-05-14,53,A Cover of a Parody,http://www.earwolf.com/episode/a-cover-of-a-parody/,"“Weird Al” Yankovic’s first appearance on the show was mostly informative. His next visit, mostly humorous. So when Al makes his third appearance, he combines the two and becomes perhaps the most beloved Comedy Bang Bang: The Podcast guest. Hear how his career has differed from that of the super-filthy and super-sexy group “Garfunkel & Oates” who may or may not know about oral sex (according to Riki’s mom). Plus, maybe the greatest plugs, and unexpected bathroom break, in Comedy Bang Bang history!","Weird Al Yankovic,  Garfunkel & Oates"
2010-05-21,54,The Wacky Ding Dongs,http://www.earwolf.com/episode/the-wacky-ding-dongs/,"Hey, so Marc Maron is super good at podcasting, right? Let’s have him on Comedy Bang Bang: The Podcast to talk about his ex-wife and his depression and caffeine and nicotine addictions and all of those other things he talks about so hilariously. Plus, Adam McKay’s favorite sketch group “The Birthday Boys” makes a big impression on the Comedy Bang Bang audience. Listen to just what happened that created such a reaction.","Marc Maron,  Birthday Boys"
2010-05-28,55,Go Rent Delgo!,http://www.earwolf.com/episode/go-rent-delgo/,"I know, I know, you guys are tired of these drop-in’s from Scott’s ex-step-father, but for whatever reason Bob Ducca won’t stay away. But please don’t ignore the episode just because of that! Jason Mantzoukas talks about working with Scott on the 2009 MTV Movie Awards, and Natasha Leggero gives her opinion about how women can get what they want. Plus, there’s jizz talk!","Natasha Leggero, Jason Mantzoukas, Seth Morris"
